DATE,RHORUSQ156N
1/1/1965,62.9
4/1/1965,62.9
7/1/1965,62.9
10/1/1965,63.4
1/1/1966,63.5
4/1/1966,63.2
7/1/1966,63.3
10/1/1966,63.8
1/1/1967,63.3
4/1/1967,63.9
7/1/1967,63.8
10/1/1967,63.5
1/1/1968,63.6
4/1/1968,64.1
7/1/1968,64.1
10/1/1968,63.6
1/1/1969,64.1
4/1/1969,64.4
7/1/1969,64.4
10/1/1969,64.4
1/1/1970,64.3
4/1/1970,64
7/1/1970,64.4
10/1/1970,64
1/1/1971,64
4/1/1971,64.1
7/1/1971,64.4
10/1/1971,64.5
1/1/1972,64.3
4/1/1972,64.5
7/1/1972,64.3
10/1/1972,64.4
1/1/1973,64.9
4/1/1973,64.4
7/1/1973,64.4
10/1/1973,64.4
1/1/1974,64.8
4/1/1974,64.8
7/1/1974,64.6
10/1/1974,64.4
1/1/1975,64.4
4/1/1975,64.9
7/1/1975,64.6
10/1/1975,64.5
1/1/1976,64.6
4/1/1976,64.6
7/1/1976,64.9
10/1/1976,64.8
1/1/1977,64.8
4/1/1977,64.5
7/1/1977,65
10/1/1977,64.9
1/1/1978,64.8
4/1/1978,64.4
7/1/1978,65.2
10/1/1978,65.4
1/1/1979,64.8
4/1/1979,64.9
7/1/1979,65.8
10/1/1979,65.4
1/1/1980,65.5
4/1/1980,65.5
7/1/1980,65.8
10/1/1980,65.5
1/1/1981,65.6
4/1/1981,65.3
7/1/1981,65.6
10/1/1981,65.2
1/1/1982,64.8
4/1/1982,64.9
7/1/1982,64.9
10/1/1982,64.5
1/1/1983,64.7
4/1/1983,64.7
7/1/1983,64.8
10/1/1983,64.4
1/1/1984,64.6
4/1/1984,64.6
7/1/1984,64.6
10/1/1984,64.1
1/1/1985,64.1
4/1/1985,64.1
7/1/1985,63.9
10/1/1985,63.5
1/1/1986,63.6
4/1/1986,63.8
7/1/1986,63.8
10/1/1986,63.9
1/1/1987,63.8
4/1/1987,63.8
7/1/1987,64.2
10/1/1987,64.1
1/1/1988,63.7
4/1/1988,63.7
7/1/1988,64
10/1/1988,63.8
1/1/1989,63.9
4/1/1989,63.8
7/1/1989,64.1
10/1/1989,63.8
1/1/1990,64
4/1/1990,63.7
7/1/1990,64
10/1/1990,64.1
1/1/1991,63.9
4/1/1991,63.9
7/1/1991,64.2
10/1/1991,64.2
1/1/1992,64
4/1/1992,63.9
7/1/1992,64.3
10/1/1992,64.4
1/1/1993,64.2
4/1/1993,64.4
7/1/1993,64.7
10/1/1993,64.6
1/1/1994,63.8
4/1/1994,63.8
7/1/1994,64.1
10/1/1994,64.2
1/1/1995,64.2
4/1/1995,64.7
7/1/1995,65
10/1/1995,65.1
1/1/1996,65.1
4/1/1996,65.4
7/1/1996,65.6
10/1/1996,65.4
1/1/1997,65.4
4/1/1997,65.7
7/1/1997,66
10/1/1997,65.7
1/1/1998,65.9
4/1/1998,66
7/1/1998,66.8
10/1/1998,66.4
1/1/1999,66.7
4/1/1999,66.6
7/1/1999,67
10/1/1999,66.9
1/1/2000,67.1
4/1/2000,67.2
7/1/2000,67.7
10/1/2000,67.5
1/1/2001,67.5
4/1/2001,67.7
7/1/2001,68.1
10/1/2001,68
1/1/2002,67.8
4/1/2002,67.6
7/1/2002,68
10/1/2002,68.3
1/1/2003,68
4/1/2003,68
7/1/2003,68.4
10/1/2003,68.6
1/1/2004,68.6
4/1/2004,69.2
7/1/2004,69
10/1/2004,69.2
1/1/2005,69.1
4/1/2005,68.6
7/1/2005,68.8
10/1/2005,69
1/1/2006,68.5
4/1/2006,68.7
7/1/2006,69
10/1/2006,68.9
1/1/2007,68.4
4/1/2007,68.2
7/1/2007,68.2
10/1/2007,67.8
1/1/2008,67.8
4/1/2008,68.1
7/1/2008,67.9
10/1/2008,67.5
1/1/2009,67.3
4/1/2009,67.4
7/1/2009,67.6
10/1/2009,67.2
1/1/2010,67.1
4/1/2010,66.9
7/1/2010,66.9
10/1/2010,66.5
1/1/2011,66.4
4/1/2011,65.9
7/1/2011,66.3
10/1/2011,66
1/1/2012,65.4
4/1/2012,65.5
7/1/2012,65.5
10/1/2012,65.4
1/1/2013,65
4/1/2013,65
7/1/2013,65.3
10/1/2013,65.2
1/1/2014,64.8
4/1/2014,64.7
7/1/2014,64.4
10/1/2014,64
1/1/2015,63.7
4/1/2015,63.4
7/1/2015,63.7
10/1/2015,63.8
1/1/2016,63.5
4/1/2016,62.9
7/1/2016,63.5
10/1/2016,63.7
1/1/2017,63.6
4/1/2017,63.7
7/1/2017,63.9
10/1/2017,64.2
1/1/2018,64.2
4/1/2018,64.3
7/1/2018,64.4
10/1/2018,64.8
1/1/2019,64.2
4/1/2019,64.1
7/1/2019,64.8
10/1/2019,65.1
1/1/2020,65.3
4/1/2020,67.9
7/1/2020,67.4
10/1/2020,65.8
1/1/2021,65.6
4/1/2021,65.4
7/1/2021,65.4
10/1/2021,65.5
1/1/2022,65.4
4/1/2022,65.8
7/1/2022,66
10/1/2022,65.9
1/1/2023,66
4/1/2023,65.9
7/1/2023,66
10/1/2023,65.7
